"Family","Species","wingspan","wintering","host_usage","voltinism","Abbrev_in_phylo"
"Noctuidae","Oligia strigilis",25.7,"larva","polyphagous","univoltine","Oli.stri"
"Geometridae","Idaea sylvestraria",17.9,"larva","oligophagous","univoltine","Ida.sylv"
"Geometridae","Electrophaes corylata",26.6,"pupa","polyphagous","univoltine","Ele.cory"
"Noctuidae","Eupsilia transversa",41.3,"adult","polyphagous","univoltine","Eup.tran"
"Geometridae","Lampropteryx suffumata",27.2,"pupa","oligophagous","univoltine","Lam.suff"
"Noctuidae","Lacanobia suasa",39.4,"pupa","polyphagous","bivoltine","Lac.suas"
"Noctuidae","Apamea remissa",36.8,"larva","polyphagous","univoltine","Apa.remi"
"Erebidae","Diaphora mendica",32.1,"pupa","polyphagous","bivoltine","Dip.mend"
"Notodontidae","Gluphisia crenata",39.4,"larva","polyphagous","bivoltine","Glu.cren"
"Noctuidae","Celaena haworthii",26.5,"egg","polyphagous","univoltine","Cel.hawo"
"Geometridae","Horisme tersata",29.1,"pupa","polyphagous","univoltine","Hor.ters"
"Noctuidae","Amphipyra tragopoginis",38.6,"egg","polyphagous","univoltine","Amp.trag"
"Erebidae","Hypena crassalis",28.1,"pupa","oligophagous","bivoltine","Hyp.cras"
"Geometridae","Perizoma albulatum",19.3,"pupa","monophagous","bivoltine","Per.albu"
"Geometridae","Thera variata",27.8,"larva","oligophagous","bivoltine","The.vari"
"Noctuidae","Autographa jota",39.6,"larva","polyphagous","univoltine","Aut.jota"
"Noctuidae","Hillia iris",32.5,"egg","oligophagous","univoltine","Hil.iris"
"Noctuidae","Pyrrhia umbra",33.8,"pupa","polyphagous","bivoltine","Pyr.umbr"
"Geometridae","Petrophora chlorosata",29.4,"pupa","oligophagous","univoltine","Pet.chlo"
"Noctuidae","Autographa excelsa",40,"larva","polyphagous","univoltine","Aut.exce"
"Geometridae","Eupithecia indigata",15.6,"pupa","oligophagous","univoltine","Eup.indi"
"Geometridae","Perizoma flavofasciatum",24.9,"pupa","monophagous","univoltine","Per.flav"
"Erebidae","Colobochyla salicalis",25.6,"pupa","oligophagous","univoltine","Col.sali"
"Geometridae","Eupithecia virgaureata",17.7,"pupa","polyphagous","bivoltine","Eup.virg"
"Geometridae","Lobophora halterata",24.6,"pupa","polyphagous","univoltine","Lob.halt"
"Hepialidae","Gazoryctra ganna",36,"larva","polyphagous","univoltine","Gaz.gann"
"Geometridae","Plagodis dolabraria",33.2,"pupa","polyphagous","bivoltine","Pla.dola"
"Geometridae","Eupithecia tenuiata",16.7,"egg","oligophagous","univoltine","Eup.tenu"
"Endromidae","Endromis versicolora",75.5,"pupa","polyphagous","univoltine","End.vers"
"Notodontidae","Notodonta dromedarius",44.3,"pupa","polyphagous","bivoltine","Not.drom"
"Notodontidae","Odontosia carmelita",44.9,"pupa","polyphagous","univoltine","Odo.carm"
"Geometridae","Lycia pomonaria",0,"pupa","polyphagous","univoltine","Lyc.pomo"
"Noctuidae","Euxoa nigricans",33.8,"larva","polyphagous","univoltine","Eux.nigr"
"Noctuidae","Plusia festucae",37.9,"larva","polyphagous","multivoltine","Plu.fest"
"Geometridae","Biston betularius",46.8,"pupa","polyphagous","univoltine","Bis.betu"
"Geometridae","Bupalus piniarius",33.9,"pupa","oligophagous","univoltine","Bup.pini"
"Erebidae","Arctia caja",58.8,"larva","polyphagous","univoltine","Arc.caja"
"Geometridae","Idaea deversaria",22.5,"larva","polyphagous","univoltine","Ida.deve"
"Geometridae","Perizoma blandiatum",18.8,"pupa","monophagous","univoltine","Per.blan"
"Noctuidae","Agrotis vestigialis",33.9,"larva","polyphagous","univoltine","Agr.vest"
"Noctuidae","Orthosia cerasi",36.9,"pupa","polyphagous","univoltine","Ort.cera"
"Noctuidae","Xylena vetusta",58.6,"adult","polyphagous","univoltine","Xyl.vetu"
"Noctuidae","Rhizedra lutosa",44.8,"egg","polyphagous","univoltine","Rhi.luto"
"Geometridae","Lomographa temerata",26.2,"pupa","polyphagous","univoltine","Lom.teme"
"Geometridae","Eupithecia denotata",20.1,"pupa","oligophagous","univoltine","Eup.deno"
"Geometridae","Abraxas grossulariatus",39.1,"larva","oligophagous","univoltine","Abr.gros"
"Nolidae","Meganola strigula",21.2,"larva","oligophagous","univoltine","Meg.stri"
"Noctuidae","Conistra rubiginea",33.4,"adult","polyphagous","univoltine","Con.rube"
"Geometridae","Euphyia unangulata",24.5,"pupa","oligophagous","bivoltine","Eup.unan"
"Noctuidae","Hadena capsincola",32.6,"pupa","oligophagous","bivoltine","Had.caps"
"Noctuidae","Lacanobia contigua",36.8,"pupa","polyphagous","bivoltine","Lac.cont"
"Noctuidae","Abrostola triplasia",33.1,"pupa","oligophagous","bivoltine","Abr.tril"
"Geometridae","Carsia sororiata",22,"egg","oligophagous","univoltine","Car.soro"
"Noctuidae","Euxoa tritici",31.8,"larva","polyphagous","univoltine","Eux.trit"
